Plate,Brand,Model,Battery
0701 MDJ,BMW,M3,82
2872 BSC,Audi,A3,67
2394 FDJ,Peugeot,3008,72
3333 HDV,Audi,A3,52
2435 HBF,Mercedes-Benz,GLA,59
3114 DNN,Toyota,Yaris,70
6786 MLG,Mercedes-Benz,E-Class,41
7134 PSL,Ford,Fiesta,76
7625 SNW,Hyundai,Tucson,54
3407 PVW,BMW,X3,78
5267 DRF,Renault,Megane,77
8745 HCH,Volkswagen,Passat,86
1375 SJK,Renault,Captur,65
5135 LWF,Ford,Fiesta,67
2017 PZM,Peugeot,308,33
8094 STF,Renault,Clio,33
3757 TGW,Ford,Focus,67
7847 KBP,Hyundai,i20,36
1519 VPF,Hyundai,Santa Fe,99
1499 CHL,Peugeot,208,24
1955 GWF,Audi,A3,66
5015 CBB,Audi,A3,79
1581 YWX,Audi,Q5,37
0072 FNL,Hyundai,i20,75
1990 YSX,Honda,Civic,63
0839 MPX,BMW,M3,27
1212 RRM,BMW,X5,71
7761 NVG,Ford,Explorer,32
1900 XCG,Honda,Accord,75
3137 BSZ,Peugeot,3008,80
9933 WPK,Peugeot,3008,36
9729 KFS,Peugeot,2008,68
3460 PHB,Volkswagen,Passat,66
6895 GTK,Ford,Fiesta,40
7884 HMB,Audi,Q5,64
6723 GGD,Audi,A4,53
3067 FCD,Hyundai,i30,89
5835 VLD,Renault,Kadjar,34
1347 YFC,Mercedes-Benz,E-Class,37
5979 BVB,BMW,X5,46
2344 NXR,Hyundai,i20,78
3449 XGT,BMW,X5,26
4227 YNG,Toyota,RAV4,85
6291 NHD,Peugeot,308,74
1726 ZKW,Hyundai,i30,25
5327 ZHX,Honda,Accord,95
4513 TFV,Honda,CR-V,48
5020 MFP,Peugeot,3008,32
6802 LXZ,Hyundai,Tucson,47
2680 JDX,Mercedes-Benz,E-Class,81
3131 GSC,BMW,M3,75
6498 SYN,BMW,X3,23
2508 VMD,Renault,Kadjar,49
6835 HSG,Renault,Megane,60
3524 BJF,Audi,Q5,48
1921 CLS,Mercedes-Benz,GLC,93
6262 MND,BMW,X3,71
4857 DYG,Volkswagen,Passat,35
1912 WRC,Peugeot,208,76
3457 MHG,Ford,Fiesta,46
0513 YJX,BMW,X5,50
0126 JZN,Mercedes-Benz,GLC,39
6537 NXY,Volkswagen,Golf,37
9812 JDN,Renault,Captur,36
6058 KVB,Ford,Fiesta,91
4073 SCL,Hyundai,i30,37
9421 KZK,Ford,Explorer,87
2222 SKK,Hyundai,i30,91
0081 TLN,Peugeot,208,37
2585 ZKF,Volkswagen,Tiguan,33
0785 KJX,Renault,Megane,38
9472 TSC,BMW,X5,54
3085 GVM,Hyundai,Santa Fe,29
6691 BZS,Ford,Mustang,48
5422 CJF,BMW,i3,81
7129 XRF,Renault,Kadjar,63
5001 JHR,Mercedes-Benz,GLC,86
5061 DTV,Renault,Kadjar,50
4152 FLF,Renault,Clio,69
7725 DFZ,Toyota,Prius,92
3186 MVL,Hyundai,Tucson,87
2015 JMP,Audi,Q7,74
2820 KFK,Volkswagen,Golf,59
8050 HGJ,Honda,Accord,49
6727 CTW,Renault,Kadjar,96
1034 FLZ,Volkswagen,Polo,82
7241 HXK,Hyundai,Santa Fe,56
3640 JRG,Toyota,Prius,69
5614 DRW,Mercedes-Benz,GLC,80
1634 HJD,Peugeot,308,76
8853 MXG,Volkswagen,Polo,59
2214 KPK,Audi,Q7,49
2309 ZHY,Volkswagen,Golf,61
7314 YZJ,Ford,Fiesta,55
2318 LLY,Renault,Clio,56
8433 HWX,Renault,Clio,45
6498 FRZ,Renault,Kadjar,83
6077 NPG,Honda,HR-V,37
4473 ZNS,Honda,CR-V,82
3454 YZV,BMW,X5,66
7336 SYX,Ford,Focus,67
8100 PXH,Hyundai,Tucson,85
3302 PNR,BMW,X5,76
8733 KPF,Ford,Focus,36
3716 LVV,Mercedes-Benz,C-Class,47
7334 GSX,Hyundai,Tucson,96
2442 XBM,Ford,Mustang,75
0861 CHM,Audi,A3,43
1634 BJD,Toyota,Yaris,89
2509 LZP,Volkswagen,Passat,48
2500 DNB,Peugeot,308,63
4113 HTH,Renault,Clio,89
2498 BKK,Peugeot,3008,58
4079 PRN,Toyota,Prius,69
1680 HHL,Audi,A3,50
5302 DKV,Hyundai,Tucson,50
2887 HCP,Honda,HR-V,64
8310 KMW,Audi,Q7,31
2835 TCB,Audi,Q5,72
1485 GYS,Ford,Fiesta,74
3069 XVK,Mercedes-Benz,E-Class,34
1676 FLK,Honda,HR-V,61
5794 CRY,Ford,Explorer,31
3501 JVV,Honda,CR-V,58
4252 VCZ,Mercedes-Benz,C-Class,93
0720 PVZ,Volkswagen,Golf,20
7083 YDL,Peugeot,2008,20
9496 RNM,BMW,i3,83
0049 ZXL,Peugeot,208,65
8812 BGT,Renault,Megane,49
3797 CWP,Mercedes-Benz,C-Class,23
4037 XKB,Honda,HR-V,37
7845 XTB,Renault,Kadjar,37
3348 YLZ,Audi,A3,22
7837 ZYC,Toyota,Corolla,62
8736 RFY,BMW,M3,60
9753 MFG,Toyota,Yaris,50
1667 FMR,Honda,Civic,73
4388 DXY,Mercedes-Benz,GLA,23
5567 SGJ,Renault,Clio,69
0507 WWB,Honda,HR-V,50
1138 YML,Volkswagen,Polo,38
5549 CMH,Peugeot,308,60
9145 JPM,Renault,Megane,98
6373 RSF,Ford,Focus,67
3296 MGT,BMW,M3,27
8359 GVZ,Audi,Q7,88
8804 GYD,Volkswagen,Polo,81
5995 RGT,Renault,Captur,64
1754 VJN,Peugeot,3008,93
4244 ZPM,Renault,Captur,72
2965 GWP,Mercedes-Benz,C-Class,30
3894 SCY,Honda,CR-V,31
9272 JPY,Hyundai,i20,81
1266 CTL,Hyundai,i30,75
5956 YXD,Renault,Megane,67
5851 GJW,BMW,i3,86
8859 HHV,Audi,Q5,52
4572 SCS,Mercedes-Benz,C-Class,61
8261 XNY,Hyundai,Santa Fe,54
0398 RHZ,BMW,X5,74
6323 FGT,Renault,Clio,50
2621 XSC,BMW,M3,37
0941 JNN,Hyundai,Tucson,45
6653 GMH,Audi,Q5,82
7534 SDF,BMW,i3,73
5492 MKL,Hyundai,i20,42
6811 PKL,Peugeot,3008,38
1577 RRJ,Volkswagen,Golf,41
1096 RYV,Peugeot,308,87
3270 VCS,Volkswagen,Polo,94
0004 KNL,Volkswagen,Polo,38
2549 XDK,BMW,X5,42
9423 FDG,Honda,CR-V,64
0683 KFB,Peugeot,2008,45
6126 YYV,Mercedes-Benz,GLC,33
6869 JPR,Audi,Q7,33
8422 CVF,Peugeot,3008,22
7073 KFR,Peugeot,308,46
8613 PHP,Mercedes-Benz,GLA,67
9805 PHW,Audi,A4,89
7663 MKT,Renault,Captur,28
8396 ZJM,Toyota,Prius,74
9246 WDX,Toyota,Corolla,73
6815 BMP,Peugeot,2008,56
5432 GPF,BMW,M3,64
9867 WHF,Hyundai,i30,83
3596 FKN,Renault,Captur,30
0970 NKB,Peugeot,208,23
9374 FWG,Toyota,Corolla,59
2214 KKH,Renault,Kadjar,100
2929 KFK,Renault,Clio,46
9451 VMD,Renault,Clio,35
2792 XHT,BMW,M3,75
4698 YZY,Toyota,Prius,72
7721 WJG,Hyundai,Tucson,93
5898 PGZ,Volkswagen,Passat,97
2547 JLT,Volkswagen,Polo,83
0147 TGP,Toyota,Prius,67
3157 KBY,BMW,X3,91
7452 JDC,BMW,X3,75
0232 VDZ,Peugeot,2008,57
0815 XWX,Toyota,RAV4,23
6665 MTV,Mercedes-Benz,GLC,29
8803 KZX,Renault,Clio,20
6886 WPW,Renault,Clio,29
8220 MFL,Audi,Q5,33
0047 JBN,Ford,Mustang,49
7122 DFR,Volkswagen,Passat,90
6426 LJJ,Ford,Mustang,53
1936 GTV,Ford,Mustang,42
2284 JZS,Honda,Civic,43
7221 YJM,Volkswagen,Tiguan,22
6062 FDZ,Hyundai,i20,40
3553 MHF,Audi,Q7,78
5565 WDF,Peugeot,3008,83
6832 YBD,Audi,Q7,47
7865 JWM,Volkswagen,Passat,38
5918 WWW,BMW,X3,89
7575 TXM,Peugeot,3008,58
6139 FLC,Peugeot,2008,66
3342 KCZ,Volkswagen,Passat,20
3920 HVX,Ford,Explorer,23
9403 XBC,Peugeot,2008,84
1774 XTV,Honda,Civic,21
9758 PFK,Volkswagen,Golf,36
3356 ZNS,Ford,Explorer,68
4109 SPT,Toyota,Corolla,25
7106 PRK,BMW,M3,69
2508 GNM,Audi,Q5,45
9527 WXS,Hyundai,Tucson,74
3855 KMW,Audi,A3,69
6313 KMH,Ford,Mustang,60
8993 JNJ,BMW,i3,24
4527 YRK,Audi,Q5,89
6189 KKX,Ford,Mustang,64
1308 JRV,Ford,Fiesta,39
0694 RWH,Peugeot,208,100
9973 KCW,BMW,M3,41
7183 YKC,BMW,M3,76
2203 TFW,Audi,Q5,53
7682 JBM,Toyota,Prius,52
1679 XTM,Ford,Fiesta,43
5570 VWV,Peugeot,308,40
0798 FGV,Peugeot,308,39
2785 LFD,BMW,M3,25
0998 ZVT,Volkswagen,Golf,91
7122 DVH,Toyota,RAV4,81
3543 YSY,Renault,Kadjar,51
8900 SST,Audi,A4,38
7437 PRH,Mercedes-Benz,E-Class,67
0732 JMD,Hyundai,i20,20
2494 CJC,Ford,Fiesta,98
3972 XYG,Hyundai,i20,78
3421 NGR,BMW,X5,67
2421 HKB,Renault,Captur,33
6248 JPB,Peugeot,208,79
7145 DNN,Mercedes-Benz,C-Class,84
4703 NGR,Toyota,Corolla,28
4480 ZTD,Toyota,Prius,99
3987 HZL,Renault,Kadjar,42
7040 FYR,Peugeot,3008,23
7189 GMN,Hyundai,Tucson,20
8657 LBJ,Mercedes-Benz,GLC,41
2640 CGY,Ford,Focus,88
0716 WGV,Peugeot,3008,39
4637 YBZ,Hyundai,i30,80
0497 RNV,Renault,Megane,53
6052 GGZ,BMW,M3,39
8591 PKT,Mercedes-Benz,C-Class,33
8404 GJJ,Peugeot,208,48
0533 TWC,Hyundai,i30,96
5003 TKD,Hyundai,Tucson,81
0609 ZNY,BMW,M3,46
8411 SWG,Honda,Accord,21
5967 YXP,Ford,Focus,72
7987 SFN,BMW,X3,50
0262 SDX,Volkswagen,Passat,31
2781 YDG,Hyundai,i30,38
3836 NJK,Audi,A3,52
8738 TZV,Hyundai,i30,64
9559 SMR,Peugeot,3008,92
2338 YHL,Ford,Mustang,47
5841 FLJ,Renault,Captur,98
4040 GBY,Hyundai,i30,96
4308 VZY,Honda,HR-V,81
6178 JWV,Honda,CR-V,62
2811 TZG,Peugeot,208,38
3007 RCP,Hyundai,i30,32
0347 YPD,Hyundai,Tucson,54
1412 VSX,Volkswagen,Golf,69
8031 XFV,Audi,Q7,64
5966 BTT,Audi,A4,64
0426 FMX,Renault,Captur,22
8009 WKZ,Hyundai,Santa Fe,93
0240 DHS,Mercedes-Benz,C-Class,48
8852 SHS,Mercedes-Benz,GLC,81
8790 TSW,Toyota,Yaris,42
5825 BDR,Renault,Megane,70
9855 ZLP,Hyundai,i30,50
9745 TWR,Toyota,Corolla,46
1684 RDG,Honda,Civic,26
8013 GMN,Mercedes-Benz,C-Class,54
8493 FWG,Mercedes-Benz,E-Class,90
6768 ZGV,Ford,Fiesta,96
0360 XWY,Audi,A4,42
2084 KCR,Ford,Mustang,43
4570 HNJ,Ford,Explorer,45
3720 VGR,Mercedes-Benz,C-Class,56
3581 WDT,Toyota,RAV4,76
8863 YYK,Honda,Accord,65
0767 BNS,Ford,Fiesta,35
2963 YFP,Peugeot,308,57
8559 TBC,BMW,i3,87
5377 CPL,Toyota,RAV4,40
8139 DVT,Renault,Captur,67
5603 FFF,Toyota,Corolla,89
6549 NDB,Hyundai,Santa Fe,41
7669 PXZ,Renault,Megane,41
7634 FYJ,Toyota,RAV4,91
3612 KBF,Honda,HR-V,37
7790 XLB,BMW,M3,57
2617 DSB,Honda,CR-V,20
2857 HJG,Peugeot,2008,96
3455 HFS,BMW,M3,76
8148 ZJY,Volkswagen,Passat,90
4987 KBP,Mercedes-Benz,E-Class,20
1870 NRJ,Hyundai,i30,73
8974 WGT,Hyundai,i30,54
2407 DMT,Toyota,Corolla,85
9586 PFG,Honda,Civic,49
7392 SFJ,Mercedes-Benz,C-Class,22
1147 HMX,Mercedes-Benz,E-Class,22
7659 HSM,Toyota,RAV4,89
7341 TPB,Renault,Captur,83
0794 NGW,Honda,CR-V,80
0712 CDV,Toyota,Corolla,53
0004 VDP,Mercedes-Benz,E-Class,93
3312 XLF,Volkswagen,Passat,74
7806 NLD,Toyota,Yaris,25
0705 KGH,Ford,Focus,76
7821 HZX,BMW,X3,73
7417 BHL,Volkswagen,Passat,54
8166 CGC,Peugeot,208,78
6332 CRC,Hyundai,Santa Fe,92
1196 CGG,Honda,Civic,47
4532 ZKF,Mercedes-Benz,GLC,83
1466 WTM,Ford,Focus,63
3657 WRD,Peugeot,308,71
6268 GHG,Hyundai,i30,24
3007 NXZ,Peugeot,208,74
1828 XRP,BMW,i3,26
6078 XJG,Toyota,Yaris,26
8843 TYJ,Renault,Megane,24
1937 SFS,Volkswagen,Polo,96
1035 SMX,Ford,Explorer,25
6071 CHJ,Peugeot,208,73
0213 XYB,Toyota,Corolla,85
3957 NJG,Hyundai,Tucson,82
2152 YBH,Mercedes-Benz,C-Class,75
8274 TGB,Hyundai,i30,25
7023 LTW,Volkswagen,Golf,32
0795 HKB,Honda,CR-V,64
3699 VMT,Toyota,Yaris,83
1382 WZV,Mercedes-Benz,GLA,98
3236 HTX,Peugeot,3008,48
8744 TYV,Volkswagen,Polo,84
6995 JJS,Peugeot,2008,76
0513 NPV,Toyota,Corolla,40
4012 YZF,Hyundai,i30,100
7755 KJY,Peugeot,208,92
8248 SWY,Volkswagen,Golf,100
6399 HGJ,Renault,Clio,43
3519 HTM,Hyundai,Tucson,64
3005 HFS,Mercedes-Benz,E-Class,53
6505 NLP,Honda,Civic,59
2916 CCR,Volkswagen,Tiguan,21
1322 NMG,Mercedes-Benz,GLC,50
8209 ZDL,Toyota,RAV4,55
2505 KTP,Ford,Fiesta,86
4767 MYH,Toyota,Yaris,81
5814 CKY,Renault,Megane,72
9374 RCZ,Peugeot,3008,64
0099 WBP,Renault,Clio,59
1799 LWC,Audi,Q5,35
6880 VRX,Honda,Accord,77
4773 ZXD,Renault,Megane,86
3243 NMY,Audi,A4,31
2170 GWY,Volkswagen,Polo,41
3248 SLN,Volkswagen,Passat,57
9895 LPN,Toyota,Yaris,61
3276 FRN,Hyundai,Tucson,87
3825 HSG,Honda,HR-V,64
5742 DZN,Peugeot,3008,77
1453 HLV,Peugeot,308,20
5105 JTM,Renault,Kadjar,55
4002 HVZ,BMW,M3,53
0928 KTS,Hyundai,Santa Fe,98
6710 LRL,Audi,Q7,93
9707 RVL,Volkswagen,Golf,81
3529 DMB,Renault,Megane,95
6363 JLB,Toyota,Yaris,76
9884 VVT,Honda,Civic,49
6581 HCW,Mercedes-Benz,C-Class,52
8358 XJS,Volkswagen,Polo,57
3378 KBX,Hyundai,i30,99
7256 MKG,Volkswagen,Passat,54
8487 MWK,Toyota,Yaris,21
9663 MXJ,Renault,Captur,95
7292 XKB,Mercedes-Benz,C-Class,35
8761 SVW,BMW,X5,20
5992 ZNJ,Renault,Clio,96
7341 GRS,Ford,Focus,66
0378 LML,BMW,X3,39
5670 LCM,Renault,Captur,99
9091 XJC,Mercedes-Benz,GLA,71
0742 TLB,Toyota,Prius,92
8058 DCN,Peugeot,308,60
7870 GRP,Toyota,RAV4,93
4287 CDL,Toyota,Prius,62
6616 SFM,Audi,A3,20
1709 RRW,Volkswagen,Tiguan,76
4498 ZHG,Volkswagen,Passat,25
3940 BTK,Hyundai,Tucson,81
0888 SLY,Volkswagen,Polo,81
7863 MNK,Honda,CR-V,76
6787 ZMC,Ford,Focus,30
5178 HNJ,Volkswagen,Passat,60
9936 ZTD,Audi,A4,78
0333 DLR,Honda,CR-V,33
7302 MMR,Peugeot,2008,75
5041 SJP,Mercedes-Benz,GLC,94
1120 YBT,Audi,Q5,27
4894 HNN,Hyundai,i20,52
9883 SYJ,Volkswagen,Golf,41
3548 DTD,Honda,HR-V,85
7492 XJH,Renault,Clio,52
3927 DGR,Hyundai,i20,86
6331 HHF,Toyota,RAV4,93
0317 VMD,Volkswagen,Polo,34
4575 PYM,BMW,X3,47
6352 NDW,Honda,Civic,80
8294 NGX,Mercedes-Benz,GLC,75
9439 RWX,Renault,Kadjar,51
2730 DJD,Volkswagen,Tiguan,69
9273 KHZ,Ford,Focus,85
5140 KDP,Peugeot,3008,73
7484 ZXZ,Volkswagen,Polo,81
7515 WBN,Peugeot,3008,91
1880 BTM,Mercedes-Benz,E-Class,57
8365 MBC,Renault,Clio,88
7886 BWC,Peugeot,208,32
7313 LMC,Volkswagen,Polo,88
2755 NWX,Ford,Fiesta,46
2861 KBZ,Renault,Megane,98
0249 TVG,Renault,Kadjar,60
6960 GFX,Toyota,Yaris,80
7011 DKK,Renault,Clio,31
7731 BHN,Honda,HR-V,57
3033 JBC,Honda,HR-V,74
2623 BSW,Mercedes-Benz,GLA,69
5550 RJV,Renault,Clio,36
5462 YHP,Peugeot,2008,21
3082 ZWS,Mercedes-Benz,C-Class,46
8951 HSL,Mercedes-Benz,C-Class,38
9224 JMT,Mercedes-Benz,C-Class,97
3743 KFG,Toyota,Prius,66
5314 VMZ,Renault,Captur,31
3984 XPN,Toyota,Corolla,90
8949 FCS,Hyundai,Santa Fe,21
6884 HRW,Volkswagen,Golf,24
1965 ZYR,Mercedes-Benz,GLC,82
7904 HND,Mercedes-Benz,GLA,92
0220 ZYM,Hyundai,i20,36
0177 DDH,Mercedes-Benz,GLC,40
5039 SCB,Volkswagen,Golf,100
2934 BXR,Ford,Fiesta,51
6523 GYD,Mercedes-Benz,E-Class,36
3624 YGC,Volkswagen,Polo,82
6854 JXM,Honda,CR-V,28
5939 ZLX,Renault,Megane,38
9512 TTJ,Peugeot,3008,97
1297 JBR,Ford,Explorer,75
0115 ZYL,Honda,Accord,45
3275 SWX,Peugeot,208,48
5883 KJR,Peugeot,3008,87
6856 PJR,Mercedes-Benz,GLC,56
1297 YKJ,Mercedes-Benz,GLA,79
2221 DXF,Audi,A3,87
2266 XXB,Ford,Explorer,29
3929 HWM,BMW,i3,86
5535 PRB,Volkswagen,Polo,45
1336 CSS,Honda,HR-V,66
5098 RJZ,Honda,HR-V,39
3407 HBZ,Renault,Kadjar,82
7550 LZW,Renault,Captur,46
0138 PTC,BMW,X3,66
1516 CCH,Toyota,Prius,31
7504 CNZ,Ford,Focus,93
8362 YCK,Ford,Fiesta,51
7908 PDJ,Renault,Kadjar,51
1751 BRV,Mercedes-Benz,GLA,58
4208 YXF,Audi,A4,50
6753 CVR,Mercedes-Benz,C-Class,31
4335 JJS,Ford,Explorer,36
5576 NHJ,Ford,Explorer,54
5419 LBY,Audi,Q5,45
6204 RDL,Audi,A3,67
5139 YLD,Audi,Q5,34
1357 DWL,Peugeot,3008,99
6530 FBV,Honda,Civic,63
8097 LPP,Mercedes-Benz,GLA,81
0419 HHX,Mercedes-Benz,GLA,51
2376 PHW,Audi,A4,28
9803 KJK,Toyota,Prius,67
9837 FJL,Volkswagen,Passat,44
5431 PFW,Toyota,Yaris,38
3583 FXW,BMW,X5,67
7189 GLC,Renault,Kadjar,81
6258 GLC,Volkswagen,Polo,40
6039 PFP,Ford,Fiesta,32
6080 SPV,Toyota,Prius,40
7016 LZB,Audi,Q7,52
9814 ZTF,Renault,Captur,47
5447 YZS,Audi,A4,26
7057 TMB,Hyundai,Santa Fe,80
1509 NFG,Hyundai,Santa Fe,57
0683 TLT,Volkswagen,Passat,73
9792 GBH,Hyundai,Tucson,64
5080 TPB,Renault,Clio,37
2324 LHY,Peugeot,208,57
8863 FRZ,Toyota,RAV4,97
3391 FFJ,Ford,Mustang,58
7571 SCR,Honda,HR-V,35
1033 CTN,Ford,Explorer,35
8852 WCK,Honda,CR-V,41
9791 RVP,Audi,Q5,73
8667 CGN,Mercedes-Benz,GLC,68
2573 JLR,Audi,Q7,21
5958 VGJ,Peugeot,3008,27
2273 WCK,Audi,A4,94
3019 HFD,Renault,Kadjar,25
7183 GKD,Mercedes-Benz,E-Class,50
7861 YLM,Hyundai,Santa Fe,59
3552 DFS,Ford,Fiesta,84
7691 MFX,BMW,X5,68
2795 SYS,Audi,Q7,67
8075 SCW,BMW,M3,76
3275 GMK,Toyota,RAV4,57
7406 LVC,Hyundai,Santa Fe,28
4437 ZFM,Mercedes-Benz,C-Class,92
6380 JTY,Toyota,Yaris,41
3331 RCN,Toyota,Corolla,58
4986 CHM,Honda,CR-V,73
8323 YWN,Peugeot,2008,46
7421 ZZN,BMW,X3,24
7860 KKR,Ford,Explorer,37
1934 DHT,Renault,Captur,37
4693 XRP,Mercedes-Benz,C-Class,26
6147 XVP,Audi,A4,67
9108 LRC,Honda,Accord,38
2388 CZW,Peugeot,308,64
0786 YVP,Renault,Kadjar,20
0822 GCN,Mercedes-Benz,GLA,53
8744 PBR,Renault,Kadjar,84
9043 NBM,Audi,Q5,66
0046 VYT,Renault,Captur,88
6828 ZXL,Volkswagen,Polo,100
9014 LWL,BMW,X5,28
7549 JBW,Renault,Megane,57
5739 DYJ,Toyota,Prius,53
1061 WMD,Toyota,Prius,79
9833 XTC,Volkswagen,Polo,72
9539 KCR,Peugeot,2008,55
9831 VVW,Renault,Clio,41
0025 VLG,Renault,Megane,68
5489 HYH,Toyota,Corolla,74
2021 FRY,Hyundai,Santa Fe,47
8711 GFB,Audi,A4,49
9056 NHT,Honda,Accord,97
4453 GKV,BMW,M3,81
6415 XKD,Audi,Q7,52
5554 LGV,Peugeot,3008,30
3294 XPR,Volkswagen,Tiguan,96
8039 HKF,Mercedes-Benz,GLA,40
9791 HJY,Mercedes-Benz,C-Class,83
4740 KMR,Renault,Captur,81
9618 ZMB,Ford,Focus,30
7338 NJD,Mercedes-Benz,E-Class,45
0744 KCS,BMW,X3,67
5548 SDN,Honda,Accord,53
9071 FJN,BMW,M3,83
3462 XKV,Ford,Explorer,61
7637 FJM,BMW,M3,21
2723 PGX,BMW,X5,93
7904 DFN,Honda,HR-V,32
1385 GXL,Ford,Mustang,76
4384 DWW,Mercedes-Benz,C-Class,94
1854 JMC,Ford,Fiesta,74
3261 HNH,Volkswagen,Golf,58
4192 GFK,Renault,Kadjar,21
6972 KHN,Toyota,Corolla,31
6312 ZSX,Toyota,Yaris,65
8404 KSF,Renault,Megane,53
6819 VRC,Ford,Fiesta,83
9540 XXT,Mercedes-Benz,GLC,23
2067 VHP,Audi,A3,37
9148 YCT,Audi,A3,88
4086 XYD,BMW,X5,24
1542 XXX,Hyundai,Santa Fe,89
9143 WHG,Renault,Megane,38
6084 KTJ,Renault,Megane,85
1108 DXV,Peugeot,3008,56
5945 BVF,Hyundai,Tucson,53
9420 KNF,Toyota,Prius,76
1365 JTC,Ford,Mustang,72
7588 XWJ,Hyundai,i30,84
5149 HWG,Renault,Kadjar,22
1876 CHL,Audi,A4,64
2225 TXT,Renault,Captur,49
9918 XTM,Toyota,RAV4,40
5819 SHC,BMW,X5,29
5158 PRK,Volkswagen,Golf,22
3794 SPX,BMW,X5,20
7857 MTP,Volkswagen,Golf,57
7935 HPL,BMW,M3,38
1071 VPV,Toyota,Yaris,38
0251 TVK,Mercedes-Benz,C-Class,65
9104 FCP,Peugeot,2008,32
7484 LZR,Mercedes-Benz,GLA,63
5810 LHL,Honda,CR-V,55
8426 KMR,Renault,Kadjar,85
7851 BJN,Mercedes-Benz,C-Class,24
8455 VSZ,Volkswagen,Passat,99
3910 CRT,Volkswagen,Polo,36
1810 XJV,Peugeot,308,79
3449 CVW,Toyota,Prius,90
1014 BYL,Toyota,RAV4,30
6921 CHR,Ford,Mustang,32
5629 BDC,Toyota,Yaris,61
8755 HRS,Honda,Accord,56
5037 CRT,Renault,Clio,21
1104 ZDV,BMW,M3,66
6887 GKZ,Honda,HR-V,32
9925 VYZ,Volkswagen,Golf,54
0733 DTD,Hyundai,Tucson,28
4288 DLK,Audi,Q5,69
6244 XYZ,Peugeot,2008,65
8954 TSF,Renault,Kadjar,58
2090 NVT,Volkswagen,Polo,66
1786 CZT,BMW,M3,87
9676 SYG,Honda,HR-V,49
4920 SYR,Ford,Mustang,22
3165 VNL,Volkswagen,Golf,63
7630 YYK,Audi,A4,62
4651 CXJ,Toyota,Prius,47
5555 VPV,Ford,Focus,79
2552 LPW,Volkswagen,Tiguan,69
1663 SDP,Honda,Civic,45
6587 YVW,Honda,CR-V,100
9572 CYC,Renault,Clio,68
3255 PDN,Mercedes-Benz,GLA,35
9547 YFS,Ford,Mustang,20
8224 HMW,Renault,Clio,37
9968 FYM,Toyota,Yaris,53
0831 KFJ,Audi,Q7,93
5626 SRD,Audi,Q7,80
7445 CXL,Honda,HR-V,31
4405 DZX,Honda,HR-V,26
8952 MPZ,Honda,Accord,39
6036 XWX,Ford,Explorer,88
7990 TGP,Ford,Fiesta,85
8022 DHM,Audi,A3,86
2085 GWS,BMW,i3,82
2687 HLT,Toyota,Corolla,29
2248 VYP,Honda,Accord,39
1103 KNS,Toyota,Corolla,82
0776 SCD,Audi,A3,53
6390 CFL,Toyota,RAV4,26
1081 HBZ,Volkswagen,Tiguan,70
6284 MZC,Renault,Clio,39
3929 SGR,Ford,Fiesta,90
0586 KKM,Ford,Focus,75
2439 LKZ,Volkswagen,Golf,53
0323 MSK,Renault,Clio,58
9360 BKL,Hyundai,Santa Fe,46
8819 MNJ,Hyundai,Tucson,24
5861 HZR,Hyundai,i20,76
7690 DMG,Volkswagen,Golf,81
0580 YZL,Renault,Kadjar,28
1605 CBV,Hyundai,Santa Fe,79
7024 PVY,Peugeot,3008,63
9095 MKT,Renault,Kadjar,97
7504 HCM,Toyota,Prius,52
7100 YGL,Audi,A4,100
9684 LHS,Renault,Kadjar,39
4767 SXZ,Ford,Fiesta,73
3982 KWY,Renault,Megane,99
3893 PVX,Peugeot,2008,51
6105 WYV,Audi,A4,39
2114 ZRR,Toyota,RAV4,92
5689 BMM,Mercedes-Benz,C-Class,41
2470 NXP,Hyundai,Santa Fe,59
3053 RRC,Peugeot,308,76
3455 XPY,Ford,Mustang,82
4989 WXB,Volkswagen,Polo,60
6180 SLN,Ford,Explorer,79
7007 JDK,Volkswagen,Passat,37
4840 HCJ,Ford,Mustang,94
1858 TGM,Hyundai,i30,47
8918 RFL,Audi,Q5,33
8880 YPR,Renault,Kadjar,89
7113 BMD,Audi,A3,89
7826 PZC,Honda,Accord,72
9937 XYZ,BMW,X3,85
3003 MNX,Renault,Clio,58
5949 MBS,Peugeot,2008,71
0333 BLH,Mercedes-Benz,GLA,45
9264 YSJ,Audi,A3,47
6652 CND,Ford,Explorer,68
2446 VCL,Honda,Accord,82
5995 JXG,Hyundai,i30,37
1793 CGK,Ford,Explorer,38
2526 HCY,Ford,Focus,67
1940 HYG,Toyota,Prius,68
4781 XGR,Ford,Focus,60
7297 VBT,Ford,Mustang,63
8546 DKW,Hyundai,i20,75
3486 SWB,Honda,Accord,64
0842 CTR,Honda,CR-V,93
8674 DBS,Volkswagen,Tiguan,98
5529 XPM,Peugeot,2008,29
0200 HYC,Hyundai,i20,43
3245 ZJY,Volkswagen,Passat,47
8449 WYK,Audi,A3,31
0463 RSM,Peugeot,2008,62
5198 NYD,BMW,X5,99
0460 ZXW,Ford,Fiesta,95
2515 CXL,Ford,Fiesta,90
7017 LCG,Renault,Kadjar,98
4245 PHS,Honda,HR-V,21
1217 XCN,Renault,Clio,85
6445 WGB,Renault,Kadjar,59
7128 MJL,BMW,i3,52
1244 PXZ,Peugeot,2008,81
1846 VFF,Hyundai,Santa Fe,83
0805 WLH,Toyota,Corolla,31
8486 VCT,Toyota,RAV4,50
